BusinessName,Category,Labels,OpenClosed,Town,Address,CurrentHours,HowToOrder,HowToGetIt,Phone,Menu,DeliveryLink,PaymentsAccepted,Specials,Website,Email,Facebook,Instagram,Twitter
Panera Bread,American,American Cafe Fast Food,Open,Glen Cove,1 Village Square,M-Su 7am-9pm,Website/Mobile Order,Drive Thru/Delivery,516-671-3612,On Website/Mobile App,https://delivery.panerabread.com/?utm_medium=brand-microsite&utm_source=local&utm_campaign=yext&utm_term=order-online&utm_content=cafe-landing-page,Cash Credit Debit Mobile App,,https://locations.panerabread.com/ny/glen-cove/1-village-square.html,pbglencove@dohertyinc.com,https://www.facebook.com/PaneraBreadGlenCoveNY/,,
Panini Tuscany Grill,Cafe,Cafe Breakfast Sandwiches,Open,Glen Cove,58 Forest Ave.,M-F 6am-6pm Sa 6am-4pm Su 9am-3pm,Phone,Takeout/Delivery/Curbside,516-609-2560,https://www.zmenu.com/panini-tuscany-grill-glen-cove-online-menu/,,Unknown,,,,https://m.facebook.com/paninituscanygrill/,,
Pat's Place,American,,Closed,Glen Cove,70 Landing Rd.,,,,,,,,,,,,,
Phil's Pizza,Italian,Italian Pizza Pasta Salads,Open,Glen Cove,21 Cedar Swamp Rd,Everyday 12-8,Phone,Takeout/Delivery,(516) 759-7510,http://www.phils-glencove.com/menus,,Cash Credit Debit,,http://www.phils-glencove.com/,,https://www.facebook.com/PhilsGlenCove/,,
Puerto Vallarta,Mexican,,Unsure,Glen Cove,48 Cedar Swamp Rd,,,,,,,,,http://www.puertovallartaglencove.com/,,,,
Punto Rojo,Latin,Latin Colombian,Open,Glen Cove,209 Forest Ave.,Same,,Takeout,516-801-4545,,,Cash Credit Debit,,http://puntorojocafe.com/?utm_source=gmb&utm_medium=referral,,,,
Quisqueya ,Latin,,Unsure,Glen Cove,19 Bridge St,,,,,,,,,,,,,
Ralph's Italian Ices,Desserts,Desserts Ice Cream,Open,Glen Cove,75 Forest Ave.,,Online,Walkup Window/Doordash Uber eats,516-686-6600,,,Cash in person Credit w delivery,,https://www.ralphsices.com,,https://www.facebook.com/RalphsFamous/,https://www.instagram.com/ralphsfamous/,https://twitter.com/RalphsFamous
Riviera Grill,Italian,,Unsure,Glen Cove,274 Glen St,,,,,,,,,,,,,
Sal's Pizza,Italian,Italian Pizza Pasta Salads,Open,Glen Cove,210 Glen St,,,,,,,,,,,,,
Sid's All American,American,American Burgers,Open,Glen Cove,80 Glen Cove Ave,M-Sunday 11-8,Online/Phone,Walkup Window/Doordash/Grubhub/Sid's Website,516-200-9071,,,CashCreditDebitApple Pay,,https://www.orderstart.com/sidsallamerican,,,,
Sopah Thai Kitchen,Asian,,Closed,Glen Cove,11 Cedar Swamp Rd,,,,,,,,,,,,,
Starbucks (GC),Cafe,,Closed,Glen Cove,5 School St.,,App Mobile Order,,516-759-0853,,,Cash Credit Debit Mobile App,,https://www.starbucks.com,,https://www.facebook.com/pages/category/Coffee-Shop/Starbucks-139056592793256/,,
Starbucks Sea Cliff,Cafe,Cafe Breakfast Coffee,Open,Glen Cove,202 Glen Cove Ave suite a,,,,,,,,,,,,,
Subway ,Fast Food,Fast Food Sandwiches,Open,Glen Cove,217 Forest Ave.,,,Takeout,516-629-6846,,,Cash Credit Debit,,https://order.subway.com/en-US/locator,,,,
Sweet Mandarin,Asian,,Closed,Glen Cove,18 Cottage Row,,Website,Takeout/Delivery,516-671-2228,,,Cash Credit Debit,,https://www.sweetmandarinny.com,sweetmandarin18@gmail.com,https://www.facebook.com/sweetmandarin18/,https://www.instagram.com/sweet_mandarin/,
Taco Bell,Fast Food,Fast Food Mexican Tacos,Open,Glen Cove,98 Forest Ave.,Same,,Drive thru/Pickup/Delivery (>$12 free),516-759-4669,,,Cash Credit Debit,,https://locations.tacobell.com/ny/glen-cove/98-forest-ave-.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=029787&utm_content=website,,,,
Thaiana,Asian,,Unsure,Glen Cove,63 Glen St,,,,,,,,,,,,,
The Cove Restaurant,American,American Seafood,Open,Glen Cove,74 Shore Rd,Mon-Sun 12pm-7pm,,,,,,,,,,,,
The Downtown Cafe,Italian,Italian Pizza Pasta Salads,Open,Glen Cove,4 School St,Tues-Sun 11am-9pm Mon 5pm-9pm,Phone,Takeout/Delivery,516-759-2233,,,Cash Credit Debit,,https://downtowncafeandpizza.com,thedowntowncafe@gmail.com,https://www.facebook.com/thedowntowncafeandpizzeria/,,
The Marquess Tavern,American,American,Open,Glen Cove,200 Dosoris Ln.,M-Su 12-7,Phone,Takeout/Delivery,516-751-5623,,,Cash Credit Debit,,https://www.glencovemansion.com,info@glencovemansion.com,https://www.facebook.com/GlenCoveMansion/,https://www.instagram.com/themansionatglencove/,https://twitter.com/glencovemansion
The Polish Deli,European,European Polish,Open,Glen Cove,18 Forest Ave.,,Phone,Call in for curbside,516-277-1469,,,Cash Credit Debit Apple/Google Pay,,http://www.thepolishdeli.com/index.html,admin@thepolishdeli.com,https://www.facebook.com/delipolish/,,
The View Grill,American,American,Open,Glen Cove,111 Lattingtown Rd.,,Phone,Takeout/Delivery/Curbside,516-200-9603,,,Cash Credit Debit,Daily Must Call,https://viewgrillgc.com,viewgrillchef@gmail.com,https://www.facebook.com/TheViewGrillRestaurant/,,https://twitter.com/TheviewgrillGC
Tokyo Sushi,Asian,,Closed,Glen Cove,2 Glen St,,,,,,,,,,,,,
Villa Meci Pizzeria,Italian,Italian Pizza Pasta Salads,Open,Glen Cove,214 Glen Cove Ave.,Mon-Sun 11am-9pm,,,,,,,,,,,,
Vito's Ristorante & Pizzeria,Italian,Italian Pizza Pasta Salads,Open,Glen Cove,91 Forest Ave.,Mon-Sun 11am-8pm,Phone/website,Takeout/Delivery/Curbside,516-759-1366,,,Cash Credit Debit,,https://www.vitospizzany.com,,https://www.facebook.com/VitosPizzaNY/,https://www.instagram.com/vitospizzany/,
Wendy's ,Fast Food,Fast Food Burgers,Open,Glen Cove,210 Glen St,,,,,,,,,,,,,
Wild Fig,Mediterranean,Mediterranean,Open,Glen Cove,167 Glen St,,,,,,,,,,,,,
Wild Ginger,Asian,,Unsure,Glen Cove,26 School St,,Phone/Website,,516-671-1144,,,Cash Credit Debit,On Website,http://wildgingerglencove.com,,https://www.facebook.com/wildginger26/,,
Wings Plus Deli,American,American Wings,Open,Glen Cove,46 School St,,Phone/Website,Takeout/Grubhub.SeamlessPostmates Doordash,516-723-9378,,,Cash Credit Debit,On Website,https://www.wingsplusdeli.com/#/,felixcoronel17@hotmail.com,https://www.facebook.com/Wings-Plus-Deli-110441567168875/,,
Zouji Dumpling House,Asian,Asian Dumplings,Open,Glen Cove,188 Glen Cove Ave,Mon-Sun 10am-10pm,,,,,,,,https://www.zoujidumpling.com/,,,,
Marle's Cafe ,,,,,,,,,,,,,,,,,,
